"Station","Date","Air min","Air max","Degree-days","Accumulated DD","*","*"
LIVERMOR.C,06/02/2020,58,99,29.50,1000.33,"1","1"
LIVERMOR.C,06/03/2020,62,103,31.25,1031.58,"1","1"
LIVERMOR.C,06/04/2020,57,103,30.00,1061.58,"1","1"
LIVERMOR.C,06/05/2020,57,76,15.25,1076.83,"1","1"
LIVERMOR.C,06/06/2020,52,79,15.50,1092.33,"A","A"
LIVERMOR.C,06/07/2020,52,79,16.25,1108.58,"A","A"
LIVERMOR.C,06/08/2020,55,86,19.25,1127.83,"1","1"
LIVERMOR.C,06/09/2020,50,94,23.75,1151.58,"1","1"
LIVERMOR.C,06/10/2020,57,98,27.25,1178.83,"1","1"
LIVERMOR.C,06/11/2020,56,95,25.50,1204.33,"1","1"
LIVERMOR.C,06/12/2020,56,75,15.25,1219.58,"1","1"
LIVERMOR.C,06/13/2020,55,78,15.75,1235.33,"1","1"
LIVERMOR.C,06/14/2020,52,86,19.75,1255.08,"1","1"
LIVERMOR.C,06/15/2020,55,84,19.75,1274.83,"A","A"
LIVERMOR.C,06/16/2020,56,83,20.50,1295.33,"1","1"
LIVERMOR.C,06/17/2020,60,90,23.50,1318.83,"1","1"
LIVERMOR.C,06/18/2020,54,98,26.75,1345.58,"1","1"
LIVERMOR.C,06/19/2020,57,98,27.00,1372.58,"1","1"
LIVERMOR.C,06/20/2020,55,94,25.25,1397.83,"1","1"
LIVERMOR.C,06/21/2020,58,96,26.75,1424.58,"1","1"
LIVERMOR.C,06/22/2020,57,100,29.25,1453.83,"1","1"
LIVERMOR.C,06/23/2020,60,98,29.00,1482.83,"1","1"
LIVERMOR.C,06/24/2020,60,99,28.25,1511.08,"1","1"
LIVERMOR.C,06/25/2020,55,87,21.00,1532.08,"A","A"
LIVERMOR.C,06/26/2020,55,88,23.00,1555.08,"A","A"
LIVERMOR.C,06/27/2020,61,96,27.75,1582.83,"1","1"
LIVERMOR.C,06/28/2020,58,79,18.00,1600.83,"1","1"
LIVERMOR.C,06/29/2020,56,90,22.75,1623.58,"1","1"
LIVERMOR.C,06/30/2020,55,95,25.25,1648.83,"1","1"
LIVERMOR.C,07/01/2020,56,92,23.50,1672.33,"1","1"
LIVERMOR.C,07/02/2020,54,86,20.25,1692.58,"1","1"
LIVERMOR.C,07/03/2020,55,88,21.00,1713.58,"A","A"
LIVERMOR.C,07/04/2020,53,97,25.75,1739.33,"1","1"
LIVERMOR.C,07/05/2020,56,89,23.00,1762.33,"A","A"
LIVERMOR.C,07/06/2020,58,89,22.00,1784.33,"1","1"
LIVERMOR.C,07/07/2020,52,92,24.50,1808.83,"1","1"
LIVERMOR.C,07/08/2020,62,95,27.00,1835.83,"1","1"
LIVERMOR.C,07/09/2020,56,90,23.50,1859.33,"A","A"
LIVERMOR.C,07/10/2020,58,103,30.25,1889.58,"1","1"
LIVERMOR.C,07/11/2020,57,102,29.75,1919.33,"1","1"
LIVERMOR.C,07/12/2020,58,104,31.25,1950.58,"1","1"
LIVERMOR.C,07/13/2020,59,95,26.25,1976.83,"1","1"
LIVERMOR.C,07/14/2020,56,93,25.00,2001.83,"1","1"
LIVERMOR.C,07/15/2020,58,97,27.50,2029.33,"1","1"
LIVERMOR.C,07/16/2020,58,94,25.75,2055.08,"1","1"
LIVERMOR.C,07/17/2020,57,86,21.75,2076.83,"1","1"
LIVERMOR.C,07/18/2020,58,95,26.25,2103.08,"1","1"
LIVERMOR.C,07/19/2020,57,89,23.00,2126.08,"A","A"
LIVERMOR.C,07/20/2020,57,88,22.00,2148.08,"A","A"
LIVERMOR.C,07/21/2020,55,94,25.00,2173.08,"1","1"
LIVERMOR.C,07/22/2020,57,89,22.00,2195.08,"A","A"
LIVERMOR.C,07/23/2020,53,93,24.25,2219.33,"1","1"
LIVERMOR.C,07/24/2020,58,92,24.25,2243.58,"1","1"
LIVERMOR.C,07/25/2020,55,93,24.50,2268.08,"1","1"
LIVERMOR.C,07/26/2020,57,97,27.50,2295.58,"1","1"
LIVERMOR.C,07/27/2020,59,100,28.75,2324.33,"1","1"
LIVERMOR.C,07/28/2020,56,99,27.50,2351.83,"1","1"
LIVERMOR.C,07/29/2020,56,88,22.25,2374.08,"A","A"
LIVERMOR.C,07/30/2020,57,88,22.00,2396.08,"A","A"
LIVERMOR.C,07/31/2020,55,94,24.25,2420.33,"1","1"
LIVERMOR.C,08/01/2020,54,97,25.75,2446.08,"1","1"
LIVERMOR.C,08/02/2020,55,99,28.00,2474.08,"1","1"
LIVERMOR.C,08/03/2020,59,100,29.00,2503.08,"1","1"
LIVERMOR.C,08/04/2020,57,96,26.25,2529.33,"1","1"
LIVERMOR.C,08/05/2020,56,89,22.00,2551.33,"A","A"
LIVERMOR.C,08/06/2020,54,90,23.00,2574.33,"1","1"
LIVERMOR.C,08/07/2020,58,89,24.00,2598.33,"A","A"
LIVERMOR.C,08/08/2020,60,94,27.00,2625.33,"1","1"
LIVERMOR.C,08/09/2020,60,99,30.00,2655.33,"1","1"
LIVERMOR.C,08/10/2020,62,98,29.00,2684.33,"1","1"
LIVERMOR.C,08/11/2020,58,88,22.50,2706.83,"1","1"
LIVERMOR.C,08/12/2020,56,96,26.25,2733.08,"1","1"
LIVERMOR.C,08/13/2020,57,90,26.75,2759.83,"A","A"
LIVERMOR.C,08/14/2020,70,106,37.75,2797.58,"1","1"
LIVERMOR.C,08/15/2020,69,106,34.25,2831.83,"1","1"
LIVERMOR.C,08/16/2020,56,90,23.00,2854.83,"A","A"
LIVERMOR.C,08/17/2020,56,88,21.75,2876.58,"A","A"
LIVERMOR.C,08/18/2020,55,86,20.75,2897.33,"A","A"
LIVERMOR.C,08/19/2020,56,85,21.25,2918.58,"A","A"
LIVERMOR.C,08/20/2020,59,95,27.00,2945.58,"1","1"
LIVERMOR.C,08/21/2020,59,95,27.75,2973.33,"1","1"
LIVERMOR.C,08/22/2020,62,98,29.75,3003.08,"1","1"
LIVERMOR.C,08/23/2020,61,95,29.25,3032.33,"1","1"
LIVERMOR.C,08/24/2020,66,90,25.50,3057.83,"1","1"
LIVERMOR.C,08/25/2020,56,88,22.00,3079.83,"A","A"
LIVERMOR.C,08/26/2020,56,89,21.75,3101.58,"A","A"
LIVERMOR.C,08/27/2020,53,89,22.00,3123.58,"1","1"
LIVERMOR.C,08/28/2020,57,94,26.00,3149.58,"1","1"
LIVERMOR.C,08/29/2020,59,89,23.00,3172.58,"1","1"
LIVERMOR.C,08/30/2020,55,90,22.75,3195.33,"1","1"
LIVERMOR.C,08/31/2020,56,92,24.25,3219.58,"1","1"
LIVERMOR.C,09/01/2020,57,87,21.50,3241.08,"1","1"
LIVERMOR.C,09/02/2020,55,84,19.25,3260.33,"1","1"
LIVERMOR.C,09/03/2020,54,90,22.50,3282.83,"1","1"
LIVERMOR.C,09/04/2020,56,97,26.50,3309.33,"1","1"
LIVERMOR.C,09/05/2020,56,90,23.00,3332.33,"A","A"
LIVERMOR.C,09/06/2020,56,88,21.75,3354.08,"A","A"
LIVERMOR.C,09/07/2020,55,89,22.00,3376.08,"A","A"
LIVERMOR.C,09/08/2020,55,88,22.50,3398.58,"A","A"
LIVERMOR.C,09/09/2020,59,83,20.00,3418.58,"1","1"
LIVERMOR.C,09/10/2020,55,76,15.25,3433.83,"1","1"
LIVERMOR.C,09/11/2020,54,88,21.25,3455.08,"1","1"
LIVERMOR.C,09/12/2020,55,86,20.50,3475.58,"A","A"
LIVERMOR.C,09/13/2020,55,86,20.50,3496.08,"1","1"
LIVERMOR.C,09/14/2020,55,85,19.75,3515.83,"A","A"
LIVERMOR.C,09/15/2020,54,83,18.25,3534.08,"A","A"
LIVERMOR.C,09/16/2020,53,83,18.25,3552.33,"A","A"
LIVERMOR.C,09/17/2020,54,92,25.25,3577.58,"1","1"
LIVERMOR.C,09/18/2020,63,85,21.75,3599.33,"1","1"
LIVERMOR.C,09/19/2020,54,88,21.25,3620.58,"1","1"
LIVERMOR.C,09/20/2020,55,94,24.50,3645.08,"1","1"
LIVERMOR.C,09/21/2020,55,94,24.50,3669.58,"1","1"
LIVERMOR.C,09/22/2020,55,92,23.50,3693.08,"1","1"
LIVERMOR.C,09/23/2020,55,92,24.50,3717.58,"1","1"
LIVERMOR.C,09/24/2020,59,90,23.50,3741.08,"1","1"
LIVERMOR.C,09/25/2020,55,87,21.50,3762.58,"1","1"
LIVERMOR.C,09/26/2020,57,93,24.25,3786.83,"1","1"
LIVERMOR.C,09/27/2020,54,83,18.50,3805.33,"A","A"
LIVERMOR.C,09/28/2020,54,83,19.75,3825.08,"A","A"
LIVERMOR.C,09/29/2020,59,98,29.00,3854.08,"1","1"
LIVERMOR.C,09/30/2020,61,100,28.50,3882.58,"1","1"
LIVERMOR.C,10/01/2020,53,82,17.50,3900.08,"A","A"
LIVERMOR.C,10/02/2020,53,81,17.00,3917.08,"A","A"
LIVERMOR.C,10/03/2020,53,81,16.75,3933.83,"A","A"
LIVERMOR.C,10/04/2020,52,78,15.00,3948.83,"A","A"
LIVERMOR.C,10/05/2020,52,79,15.25,3964.08,"A","A"
LIVERMOR.C,10/06/2020,51,81,16.75,3980.83,"A","A"
LIVERMOR.C,10/07/2020,54,86,19.50,4000.33,"1","1"
LIVERMOR.C,10/08/2020,52,80,15.50,4015.83,"1","1"
LIVERMOR.C,10/09/2020,50,81,15.50,4031.33,"A","A"
LIVERMOR.C,10/10/2020,50,80,15.75,4047.08,"A","A"
LIVERMOR.C,10/11/2020,53,84,18.25,4065.33,"1","1"
LIVERMOR.C,10/12/2020,52,89,20.00,4085.33,"1","1"
LIVERMOR.C,10/13/2020,50,92,21.00,4106.33,"1","1"
LIVERMOR.C,10/14/2020,50,81,15.26,4121.58,"A","A"
LIVERMOR.C,10/15/2020,49,78,13.76,4135.34,"A","A"
LIVERMOR.C,10/16/2020,50,77,13.26,4148.60,"A","A"
LIVERMOR.C,10/17/2020,49,78,14.26,4162.86,"A","A"
LIVERMOR.C,10/18/2020,52,93,23.00,4185.86,"1","1"
LIVERMOR.C,10/19/2020,54,92,23.00,4208.86,"1","1"
LIVERMOR.C,10/20/2020,54,92,23.50,4232.36,"1","1"
LIVERMOR.C,10/21/2020,56,92,23.25,4255.61,"1","1"
LIVERMOR.C,10/22/2020,53,82,16.51,4272.12,"1","1"
LIVERMOR.C,10/23/2020,49,77,12.39,4284.50,"A","A"
LIVERMOR.C,10/24/2020,46,77,11.95,4296.46,"1","1"
LIVERMOR.C,10/25/2020,47,71,9.19,4305.65,"1","1"
